Barrier,Respondent_Count,Percentage_of_Those_With_Barriers,Percentage_of_All_Respondents
Cost of tickets or admission fees,771,68.0,65.0
Transportation / parking issues,740,65.3,62.3
Lack of awareness about events and programs,616,54.4,51.9
Location- Lack of nearby venues or events in my neighborhood,493,43.5,41.5
Limited diversity/ representation/ inclusion in events,403,35.6,34.0
The events don’t match my interests,108,9.5,9.1
Time,2,0.2,0.2
corporate interests in arts activities,1,0.1,0.1
Underfunded community spaces in need of renovations like Dougherty Arts Center,1,0.1,0.1
Venue cost,1,0.1,0.1
The city gives grants to MEDIOCRE art it’s so disappointing to witness,1,0.1,0.1
Poor quality of event/production,1,0.1,0.1
"We are the Puerto Rican Cultural Center, a cultural arts organization working to serve this need",1,0.1,0.1
I am lucky to have the means to see performance when I want but the cost of tickets has probably limited audience participation.,1,0.1,0.1
Timing. I can't go to evening events because I can't leave my kids sleeping at home.,1,0.1,0.1
Safety,1,0.1,0.1
Childcare is my biggest barrier,1,0.1,0.1
Schedule/timing,1,0.1,0.1
Cost of living. Injection of corporations that have 0 interest in cultural capital and push out creator for bagel shops.,1,0.1,0.1
ASL interpreters,1,0.1,0.1
"None of these prevent me, I am fortunate",1,0.1,0.1
accessibility,1,0.1,0.1
Lack of centralized (city) promotion,1,0.1,0.1
"Lack of access to contacts that schedule paid performances, and what their requirements are for scheduling seasoned artists",1,0.1,0.1
Gatekeeping from established acts,1,0.1,0.1
Can’t reiterate enough that the diversity in music is NONEXISTENT in Austin.,1,0.1,0.1
"It seems like there’s some level of creative monopoly in theatre so that the quality of production suffers. We’ve tried theatre in Austin, but prefer to drive to Texas State or even Bastrop for higher quality shows than we’ve found at Zach Or Bass.",1,0.1,0.1
few professional level productions,1,0.1,0.1
Russian hate,1,0.1,0.1
Heat,1,0.1,0.1
Systemic racism and abundant caucacity in the city I grew up in. Tokenism at play in legacy organizations who now don't need black folks on their boards anymore because of the current state of the world.,1,0.1,0.1
Not all venues have quality access for Seniors.,1,0.1,0.1
